line_num,line,parse,parse_all,meter,meter_all,num_parses,num_viols__bestparse,num_viols__allparses_sum,num_viols__allparses_mean,score_viols__bestparse,score_viols__allparses_sum,score_viols__allparses_mean,num_sylls,num_words,[*strength.w=>-p/1]__bestparse,[*strength.w=>-p/1]__allparses_sum,[*strength.w=>-p/1]__allparses_mean,[*stress.s=>-u/1]__bestparse,[*stress.s=>-u/1]__allparses_sum,[*stress.s=>-u/1]__allparses_mean,[*stress.w=>-p/1]__bestparse,[*stress.w=>-p/1]__allparses_sum,[*stress.w=>-p/1]__allparses_mean,[*footmin-w-resolution/1]__bestparse,[*footmin-w-resolution/1]__allparses_sum,[*footmin-w-resolution/1]__allparses_mean,[*footmin-f-resolution/1]__bestparse,[*footmin-f-resolution/1]__allparses_sum,[*footmin-f-resolution/1]__allparses_mean,hayes_score
21,"To say, within thine own deep sunken eyes,",to|SAY|wit|HIN|thine|OWN|deep*|SUN|ken|EYES,to|SAY|wit|HIN|thine|OWN|deep*|SUN|ken|EYES    to|SAY|wit|HIN|thine.own|DEEP.SUN*|ken|EYES,wswswswsws,wswswswsws    wswswwssws,2,1,2,1.0,1,2,1.0,10,8,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,0,1,0.5,4.25
22,"Were an all-eating shame, and thriftless praise.",were.an|ALL-ALL.-*|eating|SHAME|and|THRIF|tless|PRAISE,were.an|ALL-ALL.-*|eating|SHAME|and|THRIF|tless|PRAISE    were|AN*|all-all*|-|eating|SHAME|and|THRIF|tless|PRAISE    were.an|ALL-ALL|-.eating*|SHAME|and|THRIF|tless|PRAISE,wwsswswsws,wwsswswsws    wswswswsws    wwswwswsws,3,1,5,1.6666666666666667,1,5,1.6666666666666667,10,7,0,1,0.3333333333333333,0,1,0.3333333333333333,0,2,0.6666666666666666,1,1,0.3333333333333333,0,0,0.0,5.1
23,"How much more praise deserv'd thy beauty's use,",how|MUCH|more|PRAISE|de|SERV'D|thy|BEA|uty's|USE,how|MUCH|more|PRAISE|de|SERV'D|thy|BEA|uty's|USE,wswswswsws,wswswswsws,1,0,0,0.0,0,0,0.0,10,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3.41
24,If thou couldst answer' This fair child of mine,if.thou|COULDST.AN*|swer|THIS*|fair*|CHILD|of.mine,if.thou|COULDST.AN*|swer|THIS*|fair*|CHILD|of.mine    if.thou|COULDST.AN*|swer.this*|FAIR.CHILD*|of.mine    if|THOU*|couldst*|AN|swer|THIS*|fair*|CHILD|of.mine    if|THOU*|couldst*|AN|swer.this*|FAIR.CHILD*|of.mine    if.thou|COULDST|an.swer*|THIS*|fair*|CHILD|of.mine,wwsswswsww,wwsswswsww    wwsswwssww    wswswswsww    wswswwssww    wwswwswsww,5,3,19,3.8,3,19,3.8,10,9,0,1,0.2,1,5,1.0,1,6,1.2,0,1,0.2,1,6,1.2,7.95
25,"Shall sum my count, and make my old excuse,'",shall|SUM|my|COUNT|and|MAKE|my|OLD|ex|CUSE,shall|SUM|my|COUNT|and|MAKE|my|OLD|ex|CUSE,wswswswsws,wswswswsws,1,0,0,0.0,0,0,0.0,10,9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1.04
26,Proving his beauty by succession thine!,PRO|ving.his*|BEA|uty|BY*|suc|CES|sion|THINE*,PRO|ving.his*|BEA|uty|BY*|suc|CES|sion|THINE*    PRO|ving.his*|BEA|uty|BY*|suc|CES|sion.thine*    PRO|ving.his*|BEA|uty|BY*|suc|CES.SION*|thine    PRO.VING*|his|BEA|uty|BY*|suc|CES|sion|THINE*    PRO.VING*|his|BEA|uty|BY*|suc|CES|sion.thine*    PRO.VING*|his|BEA|uty|BY*|suc|CES.SION*|thine    pro*|VING*|his|BEA|uty|BY*|suc|CES|sion|THINE*    pro*|VING*|his|BEA|uty|BY*|suc|CES|sion.thine*    pro*|VING*|his|BEA|uty|BY*|suc|CES.SION*|thine,swwswswsws,swwswswsws    swwswswsww    swwswswssw    sswswswsws    sswswswsww    sswswswssw    wswswswsws    wswswswsww    wswswswssw,9,3,36,4.0,3,36,4.0,10,6,0,3,0.3333333333333333,2,21,2.3333333333333335,0,3,0.3333333333333333,0,3,0.3333333333333333,1,6,0.6666666666666666,4.7
27,"This were to be new made when thou art old,",this|WERE*|to.be|NEW|made*|WHEN|thou.art|OLD,this|WERE*|to.be|NEW|made*|WHEN|thou.art|OLD    this.were|TO*|be|NEW|made*|WHEN|thou.art|OLD    this|WERE*|to.be|NEW.MADE*|when.thou|ART.OLD*    this.were|TO*|be|NEW.MADE*|when.thou|ART.OLD*    this|WERE*|to.be|NEW.MADE*|when|THOU*|art|OLD    this.were|TO*|be|NEW.MADE*|when|THOU*|art|OLD,wswwswswws,wswwswswws    wwswswswws    wswwsswwss    wwswsswwss    wswwsswsws    wwswsswsws,6,2,16,2.6666666666666665,2,16,2.6666666666666665,10,10,0,0,0.0,1,8,1.3333333333333333,1,2,0.3333333333333333,0,0,0.0,0,6,1.0,5.31
28,And see thy blood warm when thou feel'st it cold.,and|SEE|thy|BLOOD|warm*|WHEN|thou|FEEL'ST|it|COLD,and|SEE|thy|BLOOD|warm*|WHEN|thou|FEEL'ST|it|COLD    and|SEE|thy|BLOOD.WARM*|when.thou|FEEL'ST|it|COLD,wswswswsws,wswswswsws    wswsswwsws,2,1,2,1.0,1,2,1.0,10,10,0,0,0.0,0,0,0.0,1,1,0.5,0,0,0.0,0,1,0.5,5.13
29,Look in thy glass and tell the face thou viewest,LOOK|in.thy|GLASS|and|TELL|the|FACE|thou|VIE|west,LOOK|in.thy|GLASS|and|TELL|the|FACE|thou|VIE|west,swwswswswsw,swwswswswsw,1,0,0,0.0,0,0,0.0,11,10,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,6.69
30,Now is the time that face should form another;,NOW|is.the|TIME|that|FACE|should|FORM|a|NOT|her,NOW|is.the|TIME|that|FACE|should|FORM|a|NOT|her,swwswswswsw,swwswswswsw,1,0,0,0.0,0,0,0.0,11,9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,8.1
